name,countries,regions,localities,status,has_downhill,has_nordic,downhill_distance_km,nordic_distance_km,vertical_m,min_elevation_m,max_elevation_m,lift_count,surface_lifts_count,run_convention,wikidata_id,websites,openskimap,id,geometry,lat,lng,sources
Moose Mountain,Canada,Yukon,Dawson,operating,yes,no,2,,90,437,528,1,1,north_america,,https://dawsoncity.ca/venue/moose-mountain/,https://openskimap.org/?obj=00047ed7e806bf46cc3f8d470f622b4da1721c14,00047ed7e806bf46cc3f8d470f622b4da1721c14,Point,64.051057,-139.409375,https://www.skimap.org/SkiAreas/view/1075
Lee Canyon,United States,Nevada,,operating,yes,no,10,,231,2624,2855,6,2,north_america,,https://www.leecanyonlv.com/,https://openskimap.org/?obj=0018b9a7e706f9b7df256c27e759ac2c9c16d7ec,0018b9a7e706f9b7df256c27e759ac2c9c16d7ec,Polygon,36.301403,-115.679148,https://www.openstreetmap.org/way/1257430570 https://www.skimap.org/SkiAreas/view/360
,Latvia,Siguldas,,operating,no,yes,,2,15,63,78,,,europe,,,https://openskimap.org/?obj=0019306b-6f2a-4ebd-8907-99f8756f5e6f,0019306b-6f2a-4ebd-8907-99f8756f5e6f,Point,57.139838,24.816095,
金象山滑雪场,China,Shandong,,operating,yes,no,0,,48,348,396,2,2,north_america,,,https://openskimap.org/?obj=001bb588b1480253a9507d2f00812e9d5e93a15b,001bb588b1480253a9507d2f00812e9d5e93a15b,Polygon,36.473344,117.109281,https://www.openstreetmap.org/way/546824548 https://www.skimap.org/SkiAreas/view/13995
七步沟滑雪场,China,Hebei,,operating,yes,no,1,,79,832,911,,,north_america,,,https://openskimap.org/?obj=001bb9ea6636639b0ca02067077905030e5c81bd,001bb9ea6636639b0ca02067077905030e5c81bd,Polygon,36.933776,113.870276,https://www.openstreetmap.org/way/1358327582
Ciao Ontake (チャオ御岳スノーリゾート),Japan,Gifu Prefecture,,abandoned,yes,no,,,,,,,,japan,,,https://openskimap.org/?obj=001fb86e11cb24037e646ad0b5c1a698cef89778,001fb86e11cb24037e646ad0b5c1a698cef89778,Point,35.939400,137.481953,https://www.skimap.org/SkiAreas/view/1687
North Junction Skiing Trails,United States,Minnesota,Northeast St. Louis,operating,no,yes,,13,56,416,472,,,north_america,,,https://openskimap.org/?obj=00228de8502fb066a54f29b9a73a08b5537ae7dc,00228de8502fb066a54f29b9a73a08b5537ae7dc,Point,48.004189,-91.938078,https://www.openstreetmap.org/relation/20344806
,United States,New York,"Addison;Erwin",operating,no,yes,,6,53,438,491,,,north_america,,,https://openskimap.org/?obj=0026c93a-63e0-4406-847c-ff67ea1f2818,0026c93a-63e0-4406-847c-ff67ea1f2818,Point,42.095896,-77.196849,
Hanley's Happy Hill,United States,Pennsylvania,Eagles Mere,abandoned,yes,no,,,,,,,,north_america,,,https://openskimap.org/?obj=002ec0e2067a5682fcade115772dff2e46dc9754,002ec0e2067a5682fcade115772dff2e46dc9754,Point,41.405149,-76.579138,https://www.skimap.org/SkiAreas/view/5605
,Czechia,Zlín,Velké Karlovice,operating,no,yes,,21,167,514,681,,,europe,,,https://openskimap.org/?obj=00361a3e-a5e4-4e92-a309-dc740c4d0cdb,00361a3e-a5e4-4e92-a309-dc740c4d0cdb,Point,49.368801,18.338455,
,United States,New York,"Castile;Mount Morris",operating,no,yes,,1,116,201,316,,,north_america,,,https://openskimap.org/?obj=003a41bb-456b-4012-b87f-3e4a4691d8e0,003a41bb-456b-4012-b87f-3e4a4691d8e0,Point,42.639914,-77.982942,
,United Kingdom,Westmorland and Furness,Kendal,operating,yes,no,,,20,46,66,3,3,europe,,,https://openskimap.org/?obj=003e62d6-82bd-4175-ad8a-8dbb7f413ccf,003e62d6-82bd-4175-ad8a-8dbb7f413ccf,Point,54.327057,-2.737758,
Mount Van Hoevenberg,United States,New York,,operating,no,yes,,61,184,580,764,,,north_america,,https://www.mtvanhoevenberg.com/,https://openskimap.org/?obj=004bbfdd7a272bd0fd47ffb7d6e6b1a51dfe72b5,004bbfdd7a272bd0fd47ffb7d6e6b1a51dfe72b5,Point,44.223398,-73.914857,https://www.skimap.org/SkiAreas/view/13700
Ski Center Stara planina,Serbia,"Pirotski upravni okrug;Zajecar",,operating,yes,no,12,,515,1238,1753,6,3,europe,,https://www.skijalistasrbije.rs/en/lifts-and-slopes-stara-planina,https://openskimap.org/?obj=004cfeaad6d9556d2da48cc7871ebd68b9029eba,004cfeaad6d9556d2da48cc7871ebd68b9029eba,Point,43.367617,22.607293,https://www.openstreetmap.org/relation/10374103 https://www.skimap.org/SkiAreas/view/1059
Snow Snake Ski & Golf,United States,Michigan,,operating,yes,no,,,,,,,,north_america,,https://www.snowsnake.net/,https://openskimap.org/?obj=005b57a3c25d49c9347c670d0f4c11aaa2dfca7f,005b57a3c25d49c9347c670d0f4c11aaa2dfca7f,Point,43.959182,-84.770290,https://www.skimap.org/SkiAreas/view/409
,Finland,Pirkanmaa,,operating,no,yes,,4,19,82,101,,,europe,,,https://openskimap.org/?obj=005b6f63-d449-4b6d-88f8-94c3934c1079,005b6f63-d449-4b6d-88f8-94c3934c1079,Point,61.587872,23.016646,
,Canada,Quebec,"Châteauguay;Léry",operating,no,yes,,5,19,35,54,,,north_america,,,https://openskimap.org/?obj=005b847d-11cb-4e82-af72-6ccc60ee9fd7,005b847d-11cb-4e82-af72-6ccc60ee9fd7,Point,45.344259,-73.787549,
,Norway,Troms og Finnmark,,operating,no,yes,,20,547,80,628,,,europe,,,https://openskimap.org/?obj=005c16dc-96bf-4816-9bfa-2e4aee463403,005c16dc-96bf-4816-9bfa-2e4aee463403,Point,70.662560,23.772373,
,Norway,Viken,,operating,yes,no,0,,37,249,286,1,1,europe,,,https://openskimap.org/?obj=00678010-c946-4248-88af-4af09c511b23,00678010-c946-4248-88af-4af09c511b23,Point,59.832298,11.121390,
Okubo Grass (大久保グラススキー場),Japan,Shizuoka Prefecture,,operating,yes,no,,,,,,,,japan,,https://www.setoya.net/,https://openskimap.org/?obj=0068edd709238a7dba5b92b54cf8b78628601cc0,0068edd709238a7dba5b92b54cf8b78628601cc0,Point,34.964872,138.179576,https://www.skimap.org/SkiAreas/view/1582
,Belarus,Mahilyowskaya Voblasts',,operating,no,yes,,1,18,166,184,,,europe,,,https://openskimap.org/?obj=006ebeac-5154-455a-9fb6-f8a4e2034489,006ebeac-5154-455a-9fb6-f8a4e2034489,Point,53.177778,29.176475,
